,gender,Near_Location,Partner,Promo_friends,Phone,Contract_period,Group_visits,Age,Avg_additional_charges_total,Month_to_end_contract,Lifetime,Avg_class_frequency_total,Avg_class_frequency_current_month,Churn
0,True,True,True,True,False,6,True,29,14.227470422861144,5.0,3,0.0203979476208577,0.0,False
1,False,True,False,False,True,12,True,31,113.2029376510582,12.0,7,1.9229360550418195,1.9102435215196407,False
2,False,True,True,False,True,1,False,28,129.44847933200614,1.0,2,1.8590983473832376,1.7365018916344137,False
3,False,True,True,True,True,12,True,33,62.66986319123829,12.0,2,3.2056327682385,3.3572145130526616,False
4,True,True,True,True,True,1,False,26,198.36226543903683,1.0,3,1.1138844004257795,1.120078107422207,False
5,True,True,False,False,True,1,True,34,450.7439599104914,1.0,3,2.6234768072839807,2.6370069647681804,False
6,True,True,True,True,False,6,True,32,94.2663885148517,6.0,2,1.138941228411322,1.2772416305372298,False
7,False,True,False,False,True,1,False,30,217.78664105008903,1.0,0,1.2135019626583017,1.0493871451868677,True
8,True,True,True,True,True,1,True,23,45.40990920299768,1.0,1,1.106238932529013,1.059332976736446,False
9,False,True,False,False,True,1,False,31,65.31083634086433,1.0,11,1.81085190458252,1.9513676552017305,False
10,False,True,False,False,False,6,True,32,229.70894524511127,6.0,3,1.6411796616862384,1.36771396663351,False
11,True,True,True,False,True,1,False,27,266.7838237446521,1.0,2,2.3485353357599856,1.5843158272716689,True
12,False,True,True,True,True,1,True,33,148.41805281528684,1.0,4,3.3686057499800075,3.3918531715752978,False
13,True,True,False,False,True,1,True,27,152.74866849929762,1.0,1,0.0,0.0,True
14,False,True,False,False,True,6,False,35,209.8881331905138,3.0,8,1.978083818026388,2.117349155762039,False
15,False,True,True,True,True,12,False,29,101.37260415417305,10.0,4,2.850402196472184,2.836455259119332,False
16,False,True,True,True,True,1,True,31,11.975295259522357,1.0,0,3.3422611433294565,3.2062232230844008,False
17,False,True,False,True,True,6,True,29,92.78741424476028,5.0,1,0.6644824749922384,0.6099452944797018,False
18,False,True,False,False,True,1,True,30,97.80431525583174,1.0,8,1.50707557553785,1.5787380483152962,False
19,True,True,True,True,True,12,True,29,73.91754594762952,11.0,14,1.1413270096198054,1.1584545301683429,False
20,True,True,False,False,True,6,True,29,338.5968593027536,6.0,1,3.5635989884526174,3.479553072853101,False
21,False,False,False,False,True,1,False,30,153.19859377822274,1.0,3,0.6363818009615023,0.0,True
22,True,True,False,False,True,12,True,29,100.15813043665086,12.0,1,3.899715123776592,3.709854878880804,False
23,True,True,False,False,True,1,True,32,276.0798821905471,1.0,1,1.4206371562255409,1.0431012098788572,True
24,False,True,False,True,False,6,False,27,179.55545728024344,6.0,6,3.393160619358797,3.2825153464860963,False
25,False,False,False,False,True,1,False,29,57.73000650327499,1.0,0,1.491187497274369,1.2468065037921203,True
26,False,True,True,False,True,6,False,29,167.87521108842424,6.0,5,3.311349561669348,3.2434118858397034,False
27,True,True,False,True,True,6,False,27,31.805389694141468,6.0,3,0.8242833135958354,0.7957610492318434,False
28,False,True,False,False,True,1,False,28,242.36650054262452,1.0,15,1.4594094470402328,1.3203716289772194,False
29,False,True,True,True,True,6,True,27,159.1489236862274,5.0,3,3.5115681790970164,3.528885687703054,False
30,False,True,True,False,True,1,True,32,44.67250817468889,1.0,1,1.7716919792557118,1.6878719123797667,False
31,False,True,False,False,True,12,True,32,87.85613947441288,12.0,1,0.0,0.0,False
32,False,True,False,False,True,12,False,32,131.114586424149,12.0,3,2.374935353569161,2.2650888942452982,False
33,False,True,True,True,True,12,False,29,208.9807514639272,12.0,12,3.0835027485045474,3.137978891402041,False
34,False,True,False,False,True,6,False,26,243.51068017558129,5.0,4,1.6950063019979729,1.6781187218678733,False
35,False,True,False,False,True,12,True,33,188.59086256820493,12.0,11,0.5611384840428737,0.5659106205423078,False
36,False,True,False,False,False,1,False,34,65.74274262265584,1.0,1,1.0699892680002354,1.0519945422537709,False
37,True,True,False,False,True,1,True,32,14.25472125783996,1.0,21,3.3723138038385403,3.3157149345500736,False
38,True,True,True,True,True,12,True,25,179.03883962297508,12.0,12,1.7949385766908976,1.716777789644885,False
39,True,True,False,True,False,6,True,35,233.2395478031676,6.0,0,1.270751504397165,1.2065910354788194,False
40,False,True,True,True,True,12,False,33,5.135184497156928,12.0,5,2.9452379650144063,3.008917866863644,False
41,False,True,True,True,False,1,False,25,161.60734904259368,1.0,1,0.8789498475034133,0.0092440811667241,True
42,False,True,False,False,True,12,False,36,108.90944277802252,12.0,1,2.046309893657255,2.0797042598139592,False
43,False,True,True,True,False,1,True,30,261.7131880951677,1.0,4,3.863329318623784,3.8082617008204727,False
44,True,True,True,False,True,12,False,29,332.4890410547644,9.0,4,3.0714307544217,3.112817956184608,False
45,True,True,True,False,True,6,False,29,139.34952378010922,6.0,8,1.391037096478528,1.3544371854288566,False
46,True,True,False,False,True,1,False,26,54.18423621080765,1.0,0,0.8540792567085165,0.0,True
47,True,True,True,True,True,6,False,33,115.0991177252774,6.0,3,3.373237583328313,3.3783911776787003,False
48,True,True,False,True,True,1,True,25,152.95423818790002,1.0,12,2.915044970361457,2.8685849547070923,False
49,False,True,False,False,True,6,False,27,272.99718088898123,6.0,12,2.288928344890015,2.2043292947378545,False
50,True,True,False,False,True,1,False,33,204.2615056608934,1.0,6,1.8025185415587104,1.7216235470768095,False
51,True,False,True,False,True,1,False,29,373.066503119564,1.0,0,1.6858228409402505,1.6617420771398794,False
52,True,True,False,True,True,1,True,30,252.9156830285072,1.0,1,1.491547003063834,1.0592608497344491,True
53,False,True,False,False,True,6,True,24,1.754737156770652,4.0,6,3.0056564705977453,2.9871328008335536,False
54,False,True,False,False,True,12,True,23,34.972072319098174,11.0,3,0.0294275662078662,0.2131890921930141,False
55,False,True,True,True,False,1,False,30,194.6691783286323,1.0,4,1.8930153973176576,1.9009430377531884,False
56,True,True,False,False,True,6,True,30,134.4978468662896,6.0,2,1.6869872332841584,1.7088797675468983,False
57,False,True,False,False,True,6,True,27,236.9158278764984,6.0,0,0.9964930166420368,0.0,True
58,True,True,True,True,True,6,False,28,115.77487796084124,6.0,2,0.6335916085168876,0.7550997925776941,False
59,True,True,True,True,True,1,False,34,166.862754236209,1.0,10,0.0,0.0,False
60,False,True,True,False,True,1,True,28,262.30956844586706,1.0,2,1.0266105076125682,0.9604870154524944,True
61,False,True,True,False,True,6,False,32,55.77441782254436,5.0,6,0.8135614904122801,0.8746773672175823,False
62,False,True,True,True,False,6,False,34,72.64111198794714,6.0,2,0.0,0.0,False
63,True,True,False,False,True,1,False,28,42.16080904270572,1.0,1,0.4250114097298257,0.6052465413331591,True
64,False,True,True,False,True,6,False,30,95.37852877345216,6.0,2,2.9173741573753875,2.968503817781418,False
65,True,True,True,True,True,1,True,31,163.9731019398782,1.0,6,1.4245181139541172,1.0359563100429756,False
66,False,True,False,False,True,1,False,28,35.110895275635045,1.0,1,1.704473441832295,0.8869797239670347,True
67,True,True,False,False,True,1,True,30,414.5433842898426,1.0,3,2.8483272840904283,2.8631626362637617,False
68,False,True,False,False,True,1,False,27,152.06524646464462,1.0,1,1.0757009693441617,1.5809020013086426,True
